Year,69 kV,115 kV,132 kV,230 kV,300 kV,500 kV,Total
2512,864.00,1766.00,0.00,1162.00,0.00,0.00,3792.00
2513,892.00,1813.00,0.00,1633.00,0.00,0.00,4338.00
2514,892.00,2248.00,0.00,1664.00,0.00,0.00,4804.00
2515,982.00,2878.00,0.00,1697.00,0.00,0.00,5557.00
2516,1023.00,3142.00,0.00,1697.00,0.00,0.00,5862.00
2517,1023.00,3507.00,0.00,2243.00,0.00,0.00,6773.00
2518,1023.38,3685.00,0.00,2243.00,0.00,0.00,6951.38
2519,1023.38,4620.00,0.00,2243.00,0.00,0.00,7886.38
2520,1023.38,5031.88,0.00,2439.65,0.00,0.00,8494.91
2521,1023.38,5474.00,0.00,2493.15,0.00,0.00,8990.53
2522,1023.38,5706.28,0.00,2546.73,0.00,0.00,9276.39
2523,1023.38,6085.65,0.00,2819.25,0.00,0.00,9928.28
2524,969.61,7195.07,8.71,2819.49,0.00,0.00,10992.88
2525,969.61,7428.19,8.71,2985.48,0.00,0.00,11391.99
2526,932.51,8261.10,8.71,3293.47,0.00,0.00,12495.78
2527,932.46,8156.80,8.71,4616.54,0.00,0.00,13714.49
2528,933.45,8321.96,8.71,5191.10,0.00,0.00,14455.22
2529,851.89,8922.22,8.71,5191.10,0.00,0.00,14973.92
2530,641.51,10003.28,8.71,5897.32,0.00,0.00,16550.82
2531,641.51,10012.38,8.71,5897.32,0.00,0.00,16559.91
2532,608.07,9488.28,8.71,6122.28,0.00,325.64,16552.96
2533,651.39,9817.97,8.71,7023.37,0.00,325.64,17827.06
2534,511.41,10371.72,8.71,6791.44,0.00,533.17,18216.44
2535,479.11,10652.78,8.71,7398.98,0.00,1200.72,19740.29
2536,383.83,11006.26,8.71,8097.37,0.00,1200.72,20696.89
2537,323.83,10971.87,8.71,8812.79,0.00,1200.72,21317.91
2538,303.43,11525.85,8.71,9066.37,0.00,1200.72,22105.07
2539,176.92,12123.24,8.71,9198.09,0.00,1417.25,22924.20
2540,139.72,12487.16,8.71,9294.71,0.00,1417.25,23347.55
2541,139.72,12652.90,8.71,9351.63,0.00,1643.55,23796.50
2542,52.07,13127.04,8.71,10054.42,0.00,1757.87,25000.10
2543,52.07,13711.99,8.71,10444.71,0.00,2132.05,26349.52
2544,52.07,13939.31,8.71,10907.37,0.00,2132.05,27039.50
2545,52.07,13837.21,8.71,11219.74,0.00,2789.85,27907.57
2546,52.07,14120.24,8.71,11326.82,0.00,2789.85,28297.68
2547,52.07,14153.36,8.71,11313.71,0.00,2789.85,28317.70
2548,52.07,13703.09,8.71,12134.46,0.00,3337.76,29236.09
2549,52.07,13777.56,8.71,12797.65,0.00,3432.90,30068.88
2550,46.06,13765.21,8.71,13304.00,0.00,3432.90,30556.88
2551,18.80,13458.61,8.71,13277.30,22.99,3432.41,30218.81
2552,18.80,13279.73,8.71,13393.05,22.99,3721.95,30445.22
2553,18.80,13325.84,8.71,13541.46,22.99,3721.95,30639.74
2554,18.80,13047.67,8.71,13950.12,22.99,3469.54,30517.82
2555,18.80,13561.53,8.71,14060.13,23.07,3884.23,31556.46
2556,19.00,13660.65,8.71,14505.65,23.07,4167.17,32384.24
2557,19.00,13703.93,8.70,14605.12,23.07,4167.17,32526.98
2558,18.80,13812.65,8.71,14142.75,23.07,4987.72,32993.68
2559,18.80,13497.32,8.71,14793.65,23.07,5025.34,33366.88
2560,18.80,13088.64,8.71,14423.13,23.07,5830.84,33393.19
2561,18.80,13263.16,8.71,14712.73,23.07,6527.39,34553.86
2562,18.80,13997.98,8.71,15357.71,23.07,6575.18,35981.45
2563,18.80,14423.19,8.71,15697.87,23.07,6912.29,37083.92
2564,18.80,14715.72,8.71,15804.64,23.07,7269.23,37840.16
2565,18.80,14388.34,8.71,15952.48,23.07,8275.25,38666.65
