Year,Total water inflow
2512,8220
2513,10932
2514,11032
2515,13399
2516,18772
2517,14184
2518,22475
2519,16811
2520,17032
2521,22784
2522,15339
2523,20413
2524,24361
2525,25230
2526,22448
2527,28720
2528,30474
2529,29515
2530,23831
2531,30837
2532,33486
2533,26674
2534,35065
2535,26522
2536,23869
2537,41297
2538,39119
2539,38257
2540,40934
2541,21861
2542,33729
2543,47020
2544,39268
2545,46676
2546,32569
2547,33325
2548,35572
2549,45870
2550,39683
2551,40216
2552,38483
2553,32609
2554,58464
2555,33009
2556,37532
2557,27241
2558,22679
2559,30067
2560,39404
2561,41825
2562,28310
2563,25390
2564,38182
2565,44875
